         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1421      859.98       16.27       32.03        4.20        8.10       29.00       -0.43        0.81        4.30      758.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      278.49
        1422      859.88       16.20       32.05        3.70        8.10       28.90       -0.50        0.81        4.28      762.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      286.50
        1423      859.75       16.17       32.10        3.07        8.10       28.90       -0.50        0.81        4.28      768.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      298.86
        1424      859.63       16.25       32.40        4.15        8.10       29.00       -0.25        0.81        4.35      781.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      290.00
        1425      859.57       16.27       32.32        3.67        8.10       29.03       -0.30        0.81        4.35      774.55        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      290.85
        1426      859.46       16.27       32.40        3.93        8.10       29.10       -0.23        0.81        4.37      787.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      321.82
        1427      859.36       16.30       32.40        4.05        8.10       29.10       -0.23        0.81        4.36      787.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      308.00
        1428      859.30       16.25       32.50        4.80        8.10       29.10       -0.25        0.81        4.37      783.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      285.50
        1430      859.05       16.30       32.50        4.90        8.10       29.20       -0.20        0.81        4.40      796.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      356.00
        1431      858.97       16.20       32.30        5.70        8.10       29.10       -0.30        0.81        4.33      799.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      352.00
        1432      858.86       16.30       32.35        4.80        8.10       29.15       -0.25        0.81        4.37      797.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.00
        1433      858.75       16.30       32.40        6.55        8.10       29.10       -0.25        0.81        4.37      801.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      353.00
        1434      858.65       16.25       32.45        5.40        8.10       29.10       -0.25        0.81        4.37      805.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        0.50
        1436      858.41       16.30       32.40        4.50        8.10       29.30       -0.20        0.81        4.39      809.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      358.00
        1437      858.37       16.30       32.20        4.40        8.10       29.20       -0.30        0.81        4.35      812.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      352.00
        1438      858.22       16.20       32.30        4.17        8.10       29.13       -0.33        0.81        4.33      819.87        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      349.04
        1439      858.14       16.20       32.23        4.30        8.10       29.10       -0.40        0.81        4.32      819.87        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      352.34
        1441      857.93       16.15       32.30        3.30        8.10       29.15       -0.35        0.81        4.33      827.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      356.50
        1442      857.86       16.00       32.40        3.07        8.10       29.00       -0.47        0.81        4.29      829.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      358.69
        1444      857.67       15.95       32.30        1.85        8.10       28.90       -0.60        0.81        4.25      843.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01       24.00
        1445      857.54       16.00       32.30        2.83        8.10       28.98       -0.50        0.81        4.27      840.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01       27.69
        1446      857.44       15.94       32.33        1.77        8.10       28.91       -0.57        0.81        4.26      845.91        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01       19.05
        1447      857.32       15.97       32.33        2.90        8.10       28.97       -0.57        0.81        4.26      852.37        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.56
        1448      857.21       15.90       32.45        3.80        8.10       28.90       -0.55        0.81        4.26      860.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        0.50
        1451      856.92       15.95       32.50        3.35        8.10       29.00       -0.50        0.81        4.29      865.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        1.50
        1452      856.84       15.87       32.50        3.17        8.10       28.97       -0.53        0.81        4.27      869.83        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        3.00
        1453      856.72       15.93       32.53        3.37        8.10       29.00       -0.53        0.81        4.29      865.53        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        0.67
        1454      856.65       15.80       32.60        3.00        8.10       28.90       -0.50        0.81        4.27      878.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.00
        1455      856.55       15.82       32.52        3.08        8.10       28.90       -0.58        0.81        4.26      878.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        0.07
        1456      856.42       15.85       32.50        2.95        8.10       28.90       -0.60        0.81        4.26      877.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      360.00
        1457      856.33       15.83       32.53        3.30        8.10       28.93       -0.60        0.81        4.26      881.43        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      356.00
        1458      856.24       15.90       32.45        4.45        8.10       29.00       -0.55        0.81        4.27      890.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      349.50
        1459      856.09       15.90       32.80        4.60        8.10       29.00       -0.40        0.81        4.31      894.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      348.00
        1461      855.93       15.85       32.80        4.80        8.10       29.00       -0.50        0.81        4.30      896.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      355.50
        1462      855.81       15.85       32.73        4.40        8.10       29.00       -0.50        0.81        4.29      902.35        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.25
        1464      855.64       15.93       32.63        4.13        8.10       29.10       -0.47        0.81        4.31      908.77        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      352.33
        1465      855.51       15.95       32.45        4.20        8.10       29.15       -0.45        0.81        4.29      917.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      347.50
        1466      855.39       15.97       32.47        4.20        8.10       29.17       -0.47        0.81        4.30      916.77        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      351.33
        1467      855.29       16.00       32.40        3.90        8.10       29.20       -0.50        0.81        4.28      922.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      353.00
        1468      855.24       15.87       32.37        4.13        8.10       29.07       -0.60        0.81        4.26      920.43        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.00
        1469      855.11       15.94       32.00        3.94        8.10       29.14       -0.68        0.81        4.22      927.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.73
        1470      855.02       15.90       31.97        3.87        8.10       29.13       -0.73        0.81        4.20      928.77        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      358.67
        1471      854.92       15.85       31.70        4.00        8.10       29.10       -0.90        0.81        4.15      934.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.50
        1472      854.79       15.90       31.75        3.85        8.10       29.20       -0.85        0.81        4.17      936.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.00
        1473      854.72       15.84       31.52        4.02        8.10       29.12       -0.98        0.80        4.13      939.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        4.47
        1474      854.62       15.82       31.06        3.94        8.10       29.12       -1.20        0.80        4.05      946.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        6.87
        1475      854.48       15.90       30.93        3.90        8.10       29.20       -1.20        0.80        4.05      949.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        5.00
        1476      854.41       16.00       30.90        4.80        8.10       29.30       -1.10        0.80        4.08      957.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        4.00
        1477      854.28       15.80       30.70        4.20        8.10       29.10       -1.30        0.80        4.01      954.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.00
        1478      854.22       16.00       31.07        4.67        8.10       29.30       -1.07        0.80        4.09      958.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        2.33
        1479      854.09       15.95       31.10        4.60        8.10       29.25       -1.15        0.80        4.08      961.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        1.50
        1480      854.00       15.90       31.10        5.25        8.10       29.20       -1.15        0.80        4.07      960.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        2.50
